# CTA backfill top candidates (2026-04-24) — 三策略合併 stars>=4
# columns: 代號|名稱|市場|收盤|漲跌%|RSI|MACD_hist|reversal*|momentum*|breakout*|consensus5|consensus|max_score|描述
6526 | 達發 | TWSE | 601.0 | +8.09% | 66.5 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+3.7%),3日漲8.3%,RSI66未超買,動能區RSI66,接近60日高,波動擴張,爆量,站上20MA,量增3.9x,長線多頭
3035 | 智原 | TWSE | 185.0 | +9.79% | 67.0 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+4.0%),RSI67未超買,創60日新高,動能區RSI67,波動擴張,爆量,站上20MA,量增4.7x,長線多頭
8028 | 昇陽半導體 | TWSE | 242.0 | +10.00% | 69.2 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+4.1%),3日漲15.5%,RSI69未超買,創60日新高,動能區RSI69,微量增1.4x,波動擴張,突破20MA,站上20MA,長線多頭
2464 | 盟立 | TWSE | 91.7 | +8.39% | 66.3 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+5.1%),3日漲6.5%,RSI66未超買,動能區RSI66,接近60日高,波動擴張,爆量,站上20MA,量增2.8x,長線多頭
4931 | 新盛力 | TPEx | 162.5 | -1.81% | 65.0 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+2.6%),3日漲12.1%,RSI65未超買,動能區RSI65,接近60日高,波動擴張,爆量,站上20MA,量增3.5x,長線多頭
8027 | 鈦昇 | TPEx | 156.5 | +9.82% | 61.6 | 0.0000 | rev=0* | mom=5* | brk=4* | C5=1 | C=2 | maxScore=5.5 | 20MA上升(+6.6%),3日漲4.7%,RSI62未超買,創60日新高,動能區RSI62,微量增1.5x,突破20MA,站上20MA,量增1.5x,長線多頭
4966 | 譜瑞-KY | TPEx | 649.0 | +8.17% | 75.8 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+4.4%),3日漲20.9%,RSI76,創60日新高,波動擴張,爆量,站上20MA,超買RSI76,量增4.5x,長線多頭
2436 | 偉詮電 | TWSE | 79.5 | +3.92% | 71.9 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+4.4%),3日漲5.9%,RSI72,創60日新高,波動擴張,爆量,站上20MA,超買RSI72,量增3.3x,長線多頭
2316 | 楠梓電 | TWSE | 118.0 | +3.06% | 60.1 | 0.0000 | rev=0* | mom=5* | brk=4* | C5=1 | C=2 | maxScore=4.5 | 20MA上升(+2.2%),RSI60未超買,動能區RSI60,爆量,站上20MA,逼近60日高,量增3.4x,長線多頭
3045 | 台灣大 | TWSE | 113.0 | +0.89% | 68.8 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=4.5 | 20MA上升(+0.9%),RSI69未超買,動能區RSI69,波動擴張,站上20MA,逼近60日高,量增2.3x,長線多頭
7751 | 竑騰 | TPEx | 2405.0 | +9.57% | 78.8 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=4.5 | 20MA上升(+7.9%),3日漲24.6%,RSI79,創60日新高,爆量,站上20MA,超買RSI79,量增2.6x,長線多頭
