# CTA backfill top candidates (2026-04-27) — 三策略合併 stars>=4
# columns: 代號|名稱|市場|收盤|漲跌%|RSI|MACD_hist|reversal*|momentum*|breakout*|consensus5|consensus|max_score|描述
6781 | AES-KY | TWSE | 1225.0 | +9.87% | 69.8 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.5 | 20MA上升(+0.7%),3日漲9.4%,RSI70未超買,動能區RSI70,接近60日高,波動擴張,突破20MA,站上20MA,量增2.3x,長線多頭
4967 | 十銓 | TWSE | 284.0 | +9.86% | 69.7 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.5 | 20MA上升(+0.9%),3日漲8.4%,RSI70未超買,創60日新高,動能區RSI70,波動擴張,突破20MA,站上20MA,量增2.3x,長線多頭
8027 | 鈦昇 | TPEx | 159.0 | +1.60% | 62.7 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.5 | 20MA上升(+5.9%),3日漲6.4%,RSI63未超買,創60日新高,動能區RSI63,突破20MA,站上20MA,量增2.4x,長線多頭
5483 | 中美晶 | TPEx | 143.0 | +10.00% | 68.7 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.0 | 20MA上升(+3.1%),3日漲7.5%,RSI69未超買,創60日新高,動能區RSI69,爆量,站上20MA,量增2.5x,長線多頭
3035 | 智原 | TWSE | 186.5 | +0.81% | 67.6 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.0 | 20MA上升(+4.6%),3日漲4.2%,RSI68未超買,創60日新高,動能區RSI68,波動擴張,爆量,站上20MA,量增5.3x,長線多頭
2464 | 盟立 | TWSE | 97.0 | +5.78% | 69.8 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.0 | 20MA上升(+6.1%),3日漲3.2%,RSI70未超買,創60日新高,動能區RSI70,波動擴張,爆量,站上20MA,量增3.4x,長線多頭
3515 | 華擎 | TWSE | 238.0 | +5.08% | 66.0 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+1.6%),3日漲3.0%,RSI66未超買,創60日新高,動能區RSI66,爆量,站上20MA,量增2.6x,長線多頭
3374 | 精材 | TPEx | 218.0 | +9.82% | 69.1 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.5 | 20MA上升(+5.3%),3日漲12.1%,RSI69未超買,創60日新高,動能區RSI69,波動擴張,站上20MA,量增2.4x,長線多頭
6669 | 緯穎 | TWSE | 4890.0 | +5.50% | 78.2 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+5.5%),3日漲12.4%,RSI78,創60日新高,波動擴張,爆量,站上20MA,超買RSI78,量增2.5x,長線多頭
8103 | 瀚荃 | TWSE | 116.5 | +9.91% | 74.5 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+6.1%),3日漲13.7%,RSI75,創60日新高,波動擴張,爆量,站上20MA,超買RSI75,量增2.7x,長線多頭
2059 | 川湖 | TWSE | 3960.0 | +4.35% | 62.7 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=4.5 | 20MA上升(+2.3%),RSI63未超買,創60日新高,動能區RSI63,波動擴張,站上20MA,量增2.1x,長線多頭
