# CTA backfill top candidates (2026-04-28) — 三策略合併 stars>=4
# columns: 代號|名稱|市場|收盤|漲跌%|RSI|MACD_hist|reversal*|momentum*|breakout*|consensus5|consensus|max_score|描述
3515 | 華擎 | TWSE | 240.0 | +0.84% | 67.3 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=5.0 | 20MA上升(+2.0%),3日漲6.2%,RSI67未超買,創60日新高,動能區RSI67,爆量,站上20MA,量增4.1x,長線多頭
5904 | 寶雅 | TPEx | 544.0 | +4.21% | 62.5 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+1.2%),RSI63未超買,動能區RSI63,波動擴張,爆量,站上20MA,逼近60日高,量增3.7x,長線多頭
3374 | 精材 | TPEx | 213.0 | -2.29% | 65.8 | 0.0000 | rev=0* | mom=5* | brk=5* | C5=2 | C=2 | maxScore=4.5 | 20MA上升(+6.0%),3日漲16.1%,RSI66未超買,動能區RSI66,接近60日高,波動擴張,爆量,站上20MA,量增3.6x,長線多頭
2337 | 旺宏 | TWSE | 159.5 | +10.00% | 62.1 | 0.0000 | rev=0* | mom=5* | brk=4* | C5=1 | C=2 | maxScore=5.5 | 20MA上升(+0.6%),3日漲26.6%,RSI62未超買,動能區RSI62,微量增1.9x,突破20MA,站上20MA,逼近60日高,量增1.9x,長線多頭
4967 | 十銓 | TWSE | 303.0 | +6.69% | 73.5 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+3.1%),3日漲21.2%,RSI73,創60日新高,波動擴張,爆量,站上20MA,超買RSI73,量增3.7x,長線多頭
2464 | 盟立 | TWSE | 106.5 | +9.79% | 74.8 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+7.6%),3日漲25.9%,RSI75,創60日新高,波動擴張,爆量,站上20MA,超買RSI75,量增2.6x,長線多頭
3605 | 宏致 | TWSE | 83.6 | +9.28% | 78.5 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+7.5%),3日漲7.5%,RSI79,創60日新高,波動擴張,爆量,站上20MA,超買RSI79,量增4.1x,長線多頭
8103 | 瀚荃 | TWSE | 128.0 | +9.87% | 79.6 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=5.0 | 20MA上升(+7.9%),3日漲26.7%,RSI80,創60日新高,波動擴張,爆量,站上20MA,超買RSI80,量增3.4x,長線多頭
8027 | 鈦昇 | TPEx | 163.0 | +2.52% | 64.6 | 0.0000 | rev=0* | mom=5* | brk=4* | C5=1 | C=2 | maxScore=4.5 | 20MA上升(+5.4%),3日漲14.4%,RSI65未超買,創60日新高,動能區RSI65,突破20MA,站上20MA,長線多頭
3028 | 增你強 | TWSE | 70.8 | +3.21% | 72.7 | 0.0000 | rev=0* | mom=4* | brk=5* | C5=1 | C=2 | maxScore=4.5 | 20MA上升(+5.1%),3日漲15.9%,RSI73,創60日新高,爆量,站上20MA,超買RSI73,量增3.7x,長線多頭
6830 | 汎銓 | TWSE | 716.0 | +9.98% | 55.8 | 0.0000 | rev=0* | mom=5* | brk=0* | C5=1 | C=1 | maxScore=5.5 | 20MA上升(+12.5%),動能區RSI56,突破20MA,站上20MA,量增2.2x,長線多頭
