# Top signals (stars>=4) for 2026-05-13 — 53 unique stocks across reversal/momentum/breakout
3008 大立光 | close=2850.0 | stars_max=5 | strats=breakout,momentum
2481 強茂 | close=121.0 | stars_max=5 | strats=breakout,momentum
4739 康普 | close=101.0 | stars_max=5 | strats=breakout,momentum
8069 元太 | close=215.0 | stars_max=5 | strats=breakout,momentum
2316 楠梓電 | close=142.5 | stars_max=5 | strats=breakout,momentum
8114 振樺電 | close=247.0 | stars_max=5 | strats=breakout,momentum
1216 統一 | close=75.2 | stars_max=5 | strats=breakout,momentum
3036 文曄 | close=284.0 | stars_max=5 | strats=breakout,momentum
2441 超豐 | close=97.3 | stars_max=5 | strats=breakout,momentum
6903 巨漢 | close=427.5 | stars_max=5 | strats=breakout,momentum
3587 閎康 | close=396.0 | stars_max=5 | strats=breakout,momentum
3149 正達 | close=55.7 | stars_max=5 | strats=breakout,momentum
3090 日電貿 | close=122.5 | stars_max=5 | strats=breakout,momentum
3675 德微 | close=254.5 | stars_max=5 | strats=breakout,momentum
6446 藥華藥 | close=782.0 | stars_max=5 | strats=breakout,momentum
2356 英業達 | close=52.8 | stars_max=5 | strats=breakout,momentum
7734 印能科技 | close=4375.0 | stars_max=5 | strats=breakout,momentum
2377 微星 | close=115.5 | stars_max=5 | strats=breakout,momentum
2492 華新科 | close=200.0 | stars_max=5 | strats=breakout,momentum
6449 鈺邦 | close=218.0 | stars_max=5 | strats=breakout,momentum
3305 昇貿 | close=130.5 | stars_max=5 | strats=breakout,momentum
9910 豐泰 | close=71.6 | stars_max=5 | strats=reversal
6451 訊芯-KY | close=478.0 | stars_max=5 | strats=momentum
9921 巨大 | close=75.7 | stars_max=5 | strats=momentum
3673 TPK-KY | close=66.6 | stars_max=5 | strats=momentum
3045 台灣大 | close=112.0 | stars_max=5 | strats=momentum
5269 祥碩 | close=1430.0 | stars_max=5 | strats=momentum
2467 志聖 | close=626.0 | stars_max=5 | strats=momentum
8021 尖點 | close=446.0 | stars_max=5 | strats=momentum
3596 智易 | close=183.0 | stars_max=5 | strats=momentum
3357 臺慶科 | close=213.0 | stars_max=5 | strats=breakout
6223 旺矽 | close=5720.0 | stars_max=5 | strats=breakout
3583 辛耘 | close=966.0 | stars_max=5 | strats=breakout
5351 鈺創 | close=87.0 | stars_max=4 | strats=breakout,momentum
5284 jpp-KY | close=394.0 | stars_max=4 | strats=breakout,momentum
4966 譜瑞-KY | close=809.0 | stars_max=4 | strats=breakout,momentum
1215 卜蜂 | close=135.5 | stars_max=4 | strats=reversal
2368 金像電 | close=1350.0 | stars_max=4 | strats=momentum
7750 新代 | close=2765.0 | stars_max=4 | strats=momentum
2404 漢唐 | close=1025.0 | stars_max=4 | strats=momentum
1477 聚陽 | close=229.0 | stars_max=4 | strats=momentum
6282 康舒 | close=51.7 | stars_max=4 | strats=momentum
2359 所羅門 | close=125.0 | stars_max=4 | strats=momentum
6291 沛亨 | close=489.5 | stars_max=4 | strats=momentum
3592 瑞鼎 | close=259.5 | stars_max=4 | strats=momentum
2412 中華電 | close=137.5 | stars_max=4 | strats=momentum
4971 IET-KY | close=754.0 | stars_max=4 | strats=momentum
6138 茂達 | close=287.5 | stars_max=4 | strats=breakout
8390 金益鼎 | close=114.0 | stars_max=4 | strats=breakout
6426 統新 | close=276.0 | stars_max=4 | strats=breakout
3044 健鼎 | close=529.0 | stars_max=4 | strats=breakout
7610 聯友金屬-創 | close=858.0 | stars_max=4 | strats=breakout
6727 亞泰金屬 | close=535.0 | stars_max=4 | strats=breakout
